B_million,z_star,opt_sites
13.07,231.2988,S2+S4+S6
13.08,231.2988,S2+S4+S6
13.09,231.2988,S2+S4+S6
13.10,231.2988,S2+S4+S6
13.11,231.2988,S2+S4+S6
13.12,231.2988,S2+S4+S6
13.13,231.2988,S2+S4+S6
13.14,231.2988,S2+S4+S6
13.15,231.2988,S2+S4+S6
13.16,231.2988,S2+S4+S6
13.17,231.2988,S2+S4+S6
13.18,231.2988,S2+S4+S6
13.19,231.2988,S2+S4+S6
13.20,231.2988,S2+S4+S6
13.21,231.2988,S2+S4+S6
13.22,231.2988,S2+S4+S6
13.23,231.2988,S2+S4+S6
13.24,231.2988,S2+S4+S6
13.25,231.2988,S2+S4+S6
13.26,231.2988,S2+S4+S6
13.27,231.2988,S2+S4+S6
13.28,231.2988,S2+S4+S6
13.29,231.2988,S2+S4+S6
13.30,231.2988,S2+S4+S6
13.31,231.2988,S2+S4+S6
13.32,231.2988,S2+S4+S6
13.33,231.2988,S2+S4+S6
13.34,231.2988,S2+S4+S6
13.35,231.2988,S2+S4+S6
13.36,231.2988,S2+S4+S6
13.37,231.2988,S2+S4+S6
13.38,231.2988,S2+S4+S6
13.39,231.2988,S2+S4+S6
13.40,231.2988,S2+S4+S6
13.41,231.2988,S2+S4+S6
13.42,231.2988,S2+S4+S6
13.43,231.2988,S2+S4+S6
13.44,231.2988,S2+S4+S6
13.45,231.2988,S2+S4+S6
13.46,231.2988,S2+S4+S6
13.47,231.2988,S2+S4+S6
13.48,231.2988,S2+S4+S6
13.49,231.2988,S2+S4+S6
13.50,231.2988,S2+S4+S6
13.51,231.2988,S2+S4+S6
13.52,231.2988,S2+S4+S6
13.53,231.2988,S2+S4+S6
13.54,231.2988,S2+S4+S6
13.55,231.2988,S2+S4+S6
13.56,231.2988,S2+S4+S6
13.57,231.2988,S2+S4+S6
13.58,231.2988,S2+S4+S6
13.59,231.2988,S2+S4+S6
13.60,231.2988,S2+S4+S6
13.61,231.2988,S2+S4+S6
13.62,231.2988,S2+S4+S6
13.63,231.2988,S2+S4+S6
13.64,231.2988,S2+S4+S6
13.65,231.2988,S2+S4+S6
13.66,231.2988,S2+S4+S6
13.67,231.2988,S2+S4+S6
13.68,231.2988,S2+S4+S6
13.69,231.2988,S2+S4+S6
13.70,231.2988,S2+S4+S6
13.71,231.2988,S2+S4+S6
13.72,231.2988,S2+S4+S6
13.73,231.2988,S2+S4+S6
13.74,231.2988,S2+S4+S6
13.75,231.2988,S2+S4+S6
13.76,231.2988,S2+S4+S6
13.77,231.2988,S2+S4+S6
13.78,231.2988,S2+S4+S6
13.79,231.2988,S2+S4+S6
13.80,231.2988,S2+S4+S6
13.81,231.2988,S2+S4+S6
13.82,231.2988,S2+S4+S6
13.83,231.2988,S2+S4+S6
13.84,231.2988,S2+S4+S6
13.85,231.2988,S2+S4+S6
13.86,231.2988,S2+S4+S6
13.87,231.2988,S2+S4+S6
13.88,231.2988,S2+S4+S6
13.89,231.2988,S2+S4+S6
13.90,231.2988,S2+S4+S6
13.91,231.2988,S2+S4+S6
13.92,231.2988,S2+S4+S6
13.93,231.2988,S2+S4+S6
13.94,231.2988,S2+S4+S6
13.95,231.2988,S2+S4+S6
13.96,231.2988,S2+S4+S6
13.97,231.2988,S2+S4+S6
13.98,231.2988,S2+S4+S6
13.99,231.2988,S2+S4+S6
14.00,231.2988,S2+S4+S6
14.01,231.2988,S2+S4+S6
14.02,231.2988,S2+S4+S6
14.03,231.2988,S2+S4+S6
14.04,231.2988,S2+S4+S6
14.05,231.2988,S2+S4+S6
